snapshot pock_volume pock_asa pock_pol_asa pock_apol_asa pock_asa22 pock_pol_asa22 pock_apol_asa22 nb_AS mean_as_ray mean_as_solv_acc apol_as_prop mean_loc_hyd_dens hydrophobicity_score volume_score polarity_score charge_score prop_polar_atm as_density as_max_dst convex_hull_volume nb_abpa ALA ARG ASN ASP CYS GLN GLU GLY HIS ILE LEU LYS MET PHE PRO SER THR TRP TYR VAL
50 478.70 273.94 72.03 201.91 108.30 26.11 82.19 106 3.91 0.40 0.75 44.05 38.06 3.94 6 -1 36.67 4.78 11.44 48.22 7   1   0   0   1   1   1   1   1   0   0   4   1   2   0   0   0   2   0   0   1
51 203.11 152.67 29.02 123.65 65.69 12.17 53.52 14 3.70 0.49 0.64 4.00 51.82 4.36 4 1 31.58 4.63 8.67 16.05 4   1   0   0   0   0   1   0   0   0   0   4   1   2   0   0   0   2   0   0   0
52 194.38 131.20 71.79 59.41 59.97 31.30 28.67 5 3.94 0.41 0.40 0.00 31.12 3.75 4 -2 44.44 3.73 6.34 0.00 1   1   0   0   1   0   0   1   0   0   0   2   0   1   0   0   0   2   0   0   0
53 240.42 189.59 44.04 145.55 103.60 15.68 87.92 25 3.95 0.44 0.92 8.43 53.91 4.36 4 1 25.00 4.89 9.46 8.91 2   1   0   0   0   0   1   0   0   0   0   5   1   1   0   0   0   2   0   0   0
54 87.67 95.79 41.79 54.01 42.08 38.26 3.82 7 3.66 0.46 0.86 4.00 45.17 4.50 3 1 22.22 1.47 4.61 0.00 0   0   0   0   0   0   0   0   0   0   0   2   1   1   0   0   0   2   0   0   0
55 280.12 220.24 85.87 134.36 136.81 46.98 89.83 42 4.25 0.54 0.38 9.50 34.45 4.09 5 0 38.89 1.86 8.96 9.11 3   1   1   0   1   1   1   0   0   0   0   2   0   2   0   0   0   2   0   0   0
56 652.91 365.24 129.93 235.31 205.18 73.09 132.08 159 4.25 0.41 0.65 92.44 31.61 4.00 8 0 35.29 4.33 11.46 70.15 4   1   1   0   2   1   1   0   1   0   0   3   1   2   1   0   1   2   0   0   1
57 202.24 168.17 45.49 122.68 65.72 12.20 53.52 28 4.06 0.43 0.46 6.92 45.38 4.38 3 1 33.33 2.66 8.89 4.92 3   1   0   0   0   0   1   0   0   0   0   2   1   2   0   0   0   1   0   0   0
58 268.33 221.61 76.14 145.47 100.04 33.04 67.00 30 3.87 0.41 0.43 3.69 47.08 4.31 5 0 36.84 4.39 9.92 12.85 3   1   0   0   1   0   1   0   0   0   0   5   1   2   0   0   0   2   0   0   0
59 125.10 65.92 51.43 14.49 52.69 46.95 5.73 1 4.70 0.64 0.00 0.00 17.00 3.50 3 -1 75.00  nan -1.00 0.00 0   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   2   0   0   0
60 30.60 32.61 0.00 32.61 22.94 0.00 22.94 2 3.53 0.56 1.00 0.00 69.00 4.33 1 0 0.00 0.00 0.00 0.00 0   0   0   0   0   0   0   0   0   0   0   2   0   0   0   0   0   1   0   0   0
61 289.85 239.66 71.00 168.65 144.32 34.98 109.34 39 4.24 0.41 0.59 11.30 51.31 4.15 4 1 30.00 4.45 10.42 7.78 2   1   0   0   0   0   1   0   1   0   0   5   1   2   0   0   0   2   0   0   0
62 72.84 79.46 21.50 57.97 47.09 6.96 40.14 9 3.97 0.48 0.44 2.00 52.00 4.00 2 0 42.86 0.52 1.12 0.00 2   1   0   0   0   0   1   0   0   0   0   2   0   1   0   0   0   1   0   0   0
63 269.14 155.10 53.66 101.44 109.13 17.39 91.74 35 4.17 0.52 0.66 17.39 40.62 3.50 3 0 41.67 1.13 5.38 2.43 3   1   0   0   0   0   1   0   1   0   0   2   0   1   0   0   0   2   0   0   0
64 254.83 198.38 64.33 134.05 133.48 41.74 91.74 21 4.22 0.47 0.71 10.67 38.15 4.15 5 -1 41.18 2.74 9.68 23.73 3   1   0   0   2   1   1   0   0   0   0   4   1   2   0   0   0   1   0   0   0
65 168.28 132.60 31.16 101.44 70.03 6.96 63.07 16 4.12 0.37 0.62 6.40 51.12 3.75 2 0 40.00 1.74 3.75 0.27 3   1   0   0   0   0   1   0   1   0   0   3   0   1   0   0   0   1   0   0   0
66 453.94 293.98 111.63 182.35 188.41 66.08 122.33 36 4.32 0.35 0.69 20.80 34.07 3.80 6 -1 47.62 3.55 8.28 34.33 5   1   0   0   2   1   1   0   1   0   0   4   1   1   0   0   0   2   0   0   1
67 536.78 257.31 87.03 170.28 155.84 48.80 107.04 26 4.29 0.41 0.77 14.80 32.58 3.92 5 1 31.82 3.69 10.22 24.20 3   1   1   0   1   1   0   0   1   0   0   3   1   0   0   0   0   2   0   0   1
68 756.72 334.07 129.98 204.09 191.34 76.66 114.68 63 4.18 0.33 0.75 38.47 36.26 4.05 8 0 41.38 4.69 11.70 75.35 7   1   1   0   2   1   1   0   1   0   0   5   1   1   1   0   1   2   0   0   1
69 664.53 366.67 152.92 213.75 221.75 101.34 120.41 69 4.06 0.42 0.48 16.91 30.17 3.89 8 0 36.67 5.85 10.93 67.00 3   1   1   0   2   0   1   0   2   0   0   4   1   1   1   0   1   2   0   0   1
70 466.87 263.66 79.47 184.19 150.91 40.05 110.86 70 4.13 0.47 0.39 17.26 49.36 4.36 5 0 32.00 4.85 8.98 31.58 5   1   0   0   1   0   1   0   0   0   0   4   1   2   1   0   0   2   0   0   1
71 486.13 390.28 146.34 243.94 182.58 71.72 110.86 93 4.36 0.45 0.38 27.37 34.06 4.06 7 0 35.48 3.81 12.58 50.38 4   1   1   1   2   1   0   0   1   0   0   4   1   1   1   0   0   2   0   0   1
72 342.19 222.76 59.02 163.74 125.90 26.11 99.79 21 4.03 0.42 0.57 7.50 38.40 4.20 4 0 33.33 4.36 9.11 10.84 3   1   0   0   1   0   1   0   0   0   0   2   1   2   0   0   0   1   0   0   1
73 288.96 231.20 68.91 162.30 79.24 14.05 65.18 55 4.02 0.34 0.96 36.26 49.14 4.29 5 0 31.82 4.41 9.63 14.78 4   1   0   0   1   0   1   0   0   0   0   5   1   2   0   0   0   2   0   0   1
74 554.52 370.24 122.68 247.56 209.31 71.69 137.62 46 4.00 0.40 0.67 15.42 32.17 3.89 7 0 32.14 5.54 11.45 42.11 2   1   1   1   2   1   0   0   2   0   0   4   1   1   1   0   0   2   0   0   1
75 522.12 333.68 145.29 188.39 193.14 99.49 93.66 37 3.91 0.38 0.73 18.30 31.90 4.00 9 0 40.74 4.90 11.63 70.15 5   1   1   1   2   1   1   0   1   0   0   4   1   2   1   0   1   2   0   0   1
76 414.92 247.32 80.67 166.65 150.68 43.64 107.04 23 4.20 0.33 0.87 16.90 43.79 4.43 5 1 31.58 3.97 9.31 17.93 2   1   1   0   1   1   1   0   0   0   0   4   1   2   0   0   0   1   0   0   1
77 606.04 285.90 91.07 194.82 161.46 48.69 112.77 30 4.08 0.38 0.73 11.45 38.50 4.14 5 1 23.81 4.89 11.01 41.18 1   1   1   0   1   1   1   0   1   0   0   4   1   1   0   0   0   1   0   0   1
78 459.00 303.67 120.60 183.06 186.70 89.22 97.48 24 3.97 0.39 0.42 8.20 30.67 4.42 6 1 34.78 5.28 11.01 53.51 3   1   1   1   1   0   1   0   0   0   0   2   1   1   1   0   0   1   0   0   1
79 79.60 78.71 26.79 51.93 16.17 10.43 5.73 21 3.44 0.38 0.81 11.18 52.86 4.57 3 1 27.27 1.77 4.48 0.33 1   0   0   0   0   0   0   0   0   0   1   2   1   1   0   0   0   2   0   0   0
80 357.66 226.49 52.59 173.90 94.42 12.23 82.19 62 4.00 0.43 0.66 35.02 49.14 4.29 5 0 21.74 3.17 10.10 22.41 3   1   0   0   1   0   1   0   0   0   0   5   1   2   0   0   0   2   0   0   1
81 41.87 37.44 0.00 37.44 21.02 0.00 21.02 2 3.75 0.48 1.00 0.00 69.00 4.33 1 0 0.00 0.00 0.00 0.00 0   0   0   0   0   0   0   0   0   0   0   2   0   0   0   0   0   1   0   0   0
82 78.67 96.27 40.72 55.55 42.41 15.65 26.76 8 3.61 0.51 0.50 2.00 41.20 4.60 3 1 37.50 2.25 4.24 0.00 2   0   1   0   0   0   0   0   0   0   0   2   0   0   0   0   0   2   0   0   0
83 144.78 117.93 33.39 84.53 94.60 29.62 64.99 4 4.09 0.43 0.25 0.00 31.40 4.20 2 0 37.50 3.49 6.85 0.00 2   1   0   0   1   0   0   0   0   0   0   2   1   0   0   0   0   0   0   0   0
84 275.36 197.44 73.06 124.39 106.63 43.56 63.07 28 3.79 0.42 0.68 14.84 42.86 4.43 6 1 33.33 4.51 10.28 23.85 4   1   1   0   1   0   1   0   0   0   0   5   1   1   0   0   0   2   0   0   1
85 220.75 186.70 41.79 144.92 89.50 22.61 66.90 9 4.08 0.34 0.78 5.14 52.67 4.00 3 -1 18.18 4.11 7.15 0.00 0   1   0   0   1   0   0   0   0   0   0   4   0   1   0   0   0   2   0   0   0
86 38.75 67.63 0.00 67.63 7.65 0.00 7.65 4 3.50 0.35 1.00 2.00 29.00 4.67 2 1 0.00 0.62 0.92 0.00 0   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0   0   1   0   0   0
87 379.91 274.09 105.03 169.07 171.22 85.21 86.01 21 3.94 0.35 0.48 6.60 37.80 4.30 4 1 35.29 4.75 10.79 11.23 1   1   1   0   1   1   0   0   0   0   0   3   1   0   0   0   0   1   0   0   1
88 187.73 176.50 46.07 130.42 108.46 43.47 64.99 13 3.70 0.46 0.92 9.00 53.90 4.30 3 0 21.43 2.94 9.16 2.69 1   1   0   0   1   0   0   0   0   0   1   4   1   0   0   0   0   1   0   0   1
89 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0 0.00 0.00 0.00 0.00 0.00 0.00 0 0 0.00 0.00 -1.00 0.00 0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
90 314.48 221.15 75.02 146.12 122.75 53.94 68.81 32 3.91 0.35 0.44 12.14 28.18 4.00 4 0 29.41 3.34 7.07 6.19 0   1   1   0   2   1   0   0   1   0   0   3   1   0   0   0   0   0   0   0   1
91 279.17 205.38 76.16 129.22 177.47 79.99 97.48 17 4.24 0.45 0.41 4.29 18.67 4.11 5 0 38.46 2.75 8.26 3.99 2   1   0   0   2   0   0   0   0   0   0   2   2   0   0   0   0   1   0   0   1
